iter	Passed	Remaining
399	41889	272284
400	41995	272184
401	42099	272075
402	42204	271972
403	42310	271876
404	42417	271789
405	42524	271696
406	42628	271586
407	42733	271485
408	42840	271389
409	42943	271274
410	43047	271165
411	43151	271056
412	43257	270961
413	43363	270865
414	43469	270765
415	43577	270684
416	43683	270586
417	43789	270488
418	43893	270381
419	43998	270276
420	44103	270175
421	44209	270073
422	44313	269966
423	44419	269871
424	44525	269769
425	44630	269666
426	44732	269548
427	44839	269457
428	44944	269353
429	45049	269248
430	45153	269140
431	45263	269064
432	45368	268965
433	45477	268883
434	45583	268785
435	45692	268705
436	45797	268603
437	45903	268505
438	46007	268395
439	46113	268298
440	46216	268181
441	46320	268073
442	46425	267967
443	46530	267862
444	46633	267748
445	46738	267646
446	46843	267542
447	46949	267444
448	47054	267338
449	47158	267230
450	47262	267124
451	47367	267019
452	47473	266918
453	47581	266836
454	47685	266725
455	47790	266620
456	47894	266508
457	47999	266407
458	48103	266296
459	48208	266196
460	48313	266089
461	48417	265982
462	48523	265885
463	48629	265784
464	48732	265672
465	48839	265577
466	48942	265463
467	49047	265358
468	49151	265252
469	49257	265150
470	49359	265033
471	49464	264928
472	49568	264821
473	49673	264715
474	49777	264607
475	49882	264504
476	49987	264400
477	50091	264288
478	50194	264176
479	50299	264071
480	50403	263962
481	50510	263869
482	50614	263762
483	50721	263665
484	50825	263558
485	50930	263453
486	51033	263340
487	51138	263236
488	51241	263123
489	51346	263021
490	51450	262913
491	51555	262807
492	51658	262694
493	51764	262593
494	51869	262488
495	51973	262383
496	52078	262277
497	52181	262166
498	52287	262064
499	52392	261964
500	52498	261862
501	52604	261766
502	52708	261653
503	52813	261554
504	52919	261451
505	53024	261349
506	53127	261234
507	53231	261129
508	53337	261027
509	53443	260930
510	53547	260823
511	53652	260718
512	53756	260608
513	53862	260512
514	53966	260400
515	54071	260295
516	54175	260187
517	54280	260085
518	54382	259967
519	54487	259862
520	54591	259754
521	54697	259654
522	54802	259551
523	54908	259452
524	55011	259342
525	55116	259236
526	55221	259131
527	55326	259029
528	55430	258921
529	55537	258826
530	55642	258720
531	55748	258621
532	55850	258505
533	55954	258396
534	56059	258294
535	56164	258190
536	56268	258079
537	56373	257978
538	56476	257864
539	56580	257757
540	56682	257639
541	56787	257535
542	56891	257426
543	56996	257322
544	57100	257215
545	57206	257115
546	57311	257010
547	57416	256905
548	57520	256800
549	57625	256693
550	57729	256588
551	57836	256491
552	57938	256375
553	58042	256266
554	58144	256151
555	58249	256046
556	58353	255940
557	58458	255836
558	58564	255734
559	58667	255622
560	58771	255513
561	58874	255402
562	58979	255298
563	59083	255191
564	59188	255084
565	59294	254985
566	59395	254867
567	59499	254757
568	59602	254647
569	59707	254543
570	59811	254432
571	59914	254323
572	60019	254218
573	60124	254114
574	60227	254003
575	60331	253895
576	60436	253790
577	60542	253691
578	60646	253583
579	60750	253477
580	60854	253370
581	60959	253264
582	61062	253152
583	61167	253048
584	61271	252939
585	61375	252835
586	61481	252733
587	61585	252627
588	61692	252529
589	61797	252425
590	61902	252322
591	62006	252216
592	62114	252125
593	62219	252022
594	62324	251915
595	62428	251808
596	62532	251702
597	62638	251599
598	62742	251494
599	62846	251385
600	62950	251279
601	63054	251171
602	63159	251067
603	63263	250960
604	63368	250854
605	63471	250745
606	63576	250640
607	63680	250532
608	63785	250429
609	63890	250325
610	63996	250225
611	64100	250118
612	64204	250011
613	64308	249901
614	64412	249795
615	64516	249686
616	64621	249583
617	64726	249479
618	64830	249373
619	64937	249275
620	65041	249168
621	65146	249063
622	65250	248955
623	65354	248851
624	65459	248744
625	65565	248645
626	65669	248539
627	65775	248439
628	65880	248333
629	65985	248230
630	66089	248123
631	66194	248019
632	66297	247908
633	66401	247799
634	66504	247690
635	66610	247589
636	66714	247483
637	66819	247378
638	66922	247267
