iter	Logloss
0	0.4835647475
1	0.48343908
2	0.4832132803
3	0.4830970849
4	0.4828748447
5	0.4826956566
6	0.4825029291
7	0.4823950222
8	0.4822521945
9	0.4820768142
10	0.481897199
11	0.4818035736
12	0.4816946779
13	0.4815496289
14	0.4814066472
15	0.4812608015
16	0.4810989265
17	0.4810094571
18	0.4809119828
19	0.4808212288
20	0.4806899554
21	0.4805844837
22	0.4804811326
23	0.4802896379
24	0.4802088756
25	0.4800828001
26	0.4800035423
27	0.4798527936
28	0.4797139104
29	0.4795866991
30	0.479509877
31	0.4794059423
32	0.47934064
33	0.4791717877
34	0.4790781311
35	0.4789530294
36	0.4788277006
37	0.4787141624
38	0.4785687595
39	0.4784969015
40	0.4784059793
41	0.4783101442
42	0.4782015732
43	0.4780984567
44	0.4780172359
45	0.4779176356
46	0.4778113835
47	0.4777056078
48	0.4775948829
49	0.4775243088
50	0.4774343715
51	0.4774083225
52	0.4773272406
53	0.4772713619
54	0.477138444
55	0.4770402374
56	0.4770032622
57	0.4769017844
58	0.4768415003
59	0.4767799847
60	0.4767023534
61	0.476608368
62	0.4765359416
63	0.4764299993
64	0.4763470935
65	0.4762511979
66	0.4761239804
67	0.4760264077
68	0.4759027193
69	0.4758335333
70	0.4757303599
71	0.475665495
72	0.4755482668
73	0.4754464513
74	0.4753664716
75	0.4753076276
76	0.4752501315
77	0.4751655589
78	0.4750283649
79	0.4748771852
80	0.4747871194
81	0.474697284
82	0.4745459723
83	0.4743742173
84	0.4742929741
85	0.4741672431
86	0.4740708203
87	0.4739324659
88	0.4738234805
89	0.4737129881
90	0.4736464253
91	0.4735589446
92	0.4734934678
93	0.4733866163
94	0.4732722626
95	0.4731605927
96	0.4730095869
97	0.4728886042
98	0.4727690794
99	0.4726842129
100	0.4725076779
101	0.4723728116
102	0.4722669068
103	0.472139161
104	0.4720318362
105	0.471890579
106	0.4717873529
107	0.4716598511
108	0.4715026063
109	0.4714047799
110	0.4712787515
111	0.4711807209
112	0.471086182
113	0.4709368904
114	0.4708508245
115	0.4707610739
116	0.4706780714
117	0.4705709126
118	0.470489232
119	0.4704074314
120	0.4703263265
121	0.4702508504
122	0.4701626007
123	0.4700411573
124	0.4699622763
125	0.469886554
126	0.4697883025
127	0.4697121294
128	0.4696095796
129	0.4694447812
130	0.4692983804
131	0.4692251081
132	0.4691115866
133	0.4690445657
134	0.4689658901
135	0.468891572
136	0.4687667873
137	0.4685972521
138	0.4684968022
139	0.4684288912
140	0.468358113
141	0.4682793028
142	0.468134528
143	0.4680255096
144	0.46794536
145	0.4678641337
146	0.4677121288
147	0.4676540347
148	0.4675165893
149	0.4674034372
150	0.4672418561
151	0.4670662016
152	0.467000008
153	0.4668785983
154	0.4667755783
155	0.4666353896
156	0.4665027649
157	0.4663865815
158	0.4662832513
159	0.466149807
160	0.4660936086
161	0.4660320314
162	0.4659304952
163	0.4657551531
164	0.4656926875
165	0.4656320473
166	0.4654841547
167	0.4653795271
168	0.4652595365
169	0.4650657953
170	0.464992849
