iter	Logloss
203	0.6899083961
204	0.6898919383
205	0.6898763009
206	0.6898606451
207	0.6898446141
208	0.6898295549
209	0.6898146512
210	0.6897985742
211	0.6897811102
212	0.6897674165
213	0.6897495397
214	0.6897333962
215	0.6897171687
216	0.6897006006
217	0.6896837049
218	0.689668169
219	0.6896519949
220	0.6896345801
221	0.6896158223
222	0.6896011429
223	0.6895842645
224	0.6895700594
225	0.6895532481
226	0.6895373651
227	0.6895200104
228	0.6895024908
229	0.6894879403
230	0.6894724676
231	0.6894554283
232	0.6894404564
233	0.6894261459
234	0.6894099042
235	0.6893922026
236	0.6893775837
237	0.6893614802
238	0.6893463648
239	0.6893303338
240	0.6893150794
241	0.6892990885
242	0.6892825764
243	0.6892676721
244	0.6892506206
245	0.6892334419
246	0.6892201602
247	0.6892024665
248	0.6891858191
249	0.6891687429
250	0.6891518692
251	0.6891373344
252	0.6891218466
253	0.6891051782
254	0.6890900595
255	0.6890753794
256	0.6890582088
257	0.6890420615
258	0.6890274245
259	0.6890108907
260	0.6889952673
261	0.6889788128
262	0.688962156
263	0.6889483665
264	0.6889309057
265	0.6889169457
266	0.6889023315
267	0.6888848784
268	0.6888683719
269	0.6888541883
270	0.6888367117
271	0.6888227149
272	0.6888074155
273	0.6887916658
274	0.6887757289
275	0.6887612628
276	0.6887453206
277	0.6887290789
278	0.6887136625
279	0.6886987602
280	0.6886844892
281	0.6886667844
282	0.6886508643
283	0.688634644
284	0.6886197466
285	0.6886057147
286	0.6885892118
287	0.6885734668
288	0.6885591313
289	0.6885426362
290	0.6885257469
291	0.6885086071
292	0.6884924175
293	0.6884779465
294	0.6884625737
295	0.6884474773
296	0.6884332326
297	0.6884182604
298	0.6884020156
299	0.688385733
300	0.6883696742
301	0.6883532545
302	0.6883437026
303	0.6883281573
304	0.6883099506
305	0.6882940744
306	0.688278752
307	0.6882605831
308	0.6882447836
309	0.688229348
310	0.6882143734
311	0.6881987688
312	0.6881838231
313	0.6881689592
314	0.6881530343
315	0.68813876
316	0.688122856
317	0.6881069199
318	0.6880898724
319	0.6880739044
320	0.6880574138
321	0.6880431699
322	0.6880275209
323	0.6880112772
324	0.687996857
325	0.6879813946
326	0.687966506
327	0.6879508213
328	0.687934064
329	0.6879167852
330	0.6878998394
331	0.6878822122
332	0.6878674078
333	0.6878525257
334	0.6878376319
335	0.6878210637
336	0.687803757
337	0.6877880985
338	0.6877721674
339	0.6877564084
340	0.6877400669
341	0.687723725
342	0.6877049211
343	0.6876890623
344	0.6876708411
345	0.6876557482
346	0.6876415721
347	0.6876242576
348	0.687608322
349	0.6875917968
350	0.687574903
351	0.6875581304
352	0.6875431318
353	0.6875271321
354	0.6875106511
355	0.6874945835
356	0.6874798733
357	0.6874625338
358	0.6874474909
359	0.6874328789
360	0.6874187291
361	0.6874028425
362	0.6873864829
363	0.6873708452
364	0.6873549956
365	0.6873407854
366	0.6873239081
367	0.6873071001
368	0.6872980115
369	0.6872805112
370	0.6872648582
371	0.687247744
372	0.687232466
373	0.6872163161
374	0.6872010807
375	0.6871857014
376	0.6871685051
377	0.6871520307
378	0.6871349716
379	0.6871183143
380	0.6871011467
381	0.6870859058
382	0.6870702935
383	0.6870541135
384	0.6870365969
385	0.687020854
386	0.6870037131
387	0.6869884286
388	0.6869715911
389	0.6869564996
390	0.6869415635
391	0.686926145
392	0.6869071757
393	0.6868909326
394	0.6868758042
395	0.6868615485
396	0.6868458065
397	0.6868292297
398	0.6868153035
399	0.6867991721
400	0.6867843421
401	0.6867686744
402	0.6867520847
403	0.6867356732
404	0.6867182911
405	0.6867002599
406	0.686685756
407	0.6866690981
408	0.6866513963
409	0.6866351751
410	0.6866189842
411	0.6866019279
412	0.6865858648
413	0.6865680989
414	0.6865523611
415	0.6865367507
416	0.6865213946
417	0.6865074132
418	0.6864910526
419	0.6864741067
420	0.6864592478
421	0.6864438803
422	0.6864291938
423	0.6864138407
424	0.6863988684
425	0.6863828256
426	0.6863655913
427	0.686349698
428	0.6863329066
429	0.6863154544
430	0.6862988275
431	0.6862818332
432	0.68626626
433	0.6862524499
434	0.6862348561
435	0.686219493
436	0.6862064533
437	0.6861903984
438	0.6861750307
439	0.686158898
440	0.6861436055
441	0.6861272489
442	0.6861108317
443	0.6860957381
444	0.6860787943
445	0.6860642249
446	0.6860479368
447	0.6860351378
448	0.6860196732
449	0.6860035769
450	0.6859887789
451	0.685973759
452	0.6859595648
453	0.685943546
454	0.6859287994
455	0.6859135309
456	0.6858972258
457	0.6858839139
458	0.6858668408
459	0.6858516556
460	0.6858348592
461	0.6858190164
462	0.6858025952
463	0.6857882873
464	0.685770442
465	0.68575303
466	0.6857380648
467	0.6857232867
468	0.6857088486
469	0.685693543
470	0.6856797017
471	0.6856656014
472	0.6856491069
473	0.685632523
474	0.6856167053
475	0.6856012831
476	0.6855855499
477	0.685568296
478	0.6855513085
479	0.6855373219
480	0.6855209505
481	0.6855056139
482	0.6854897278
483	0.6854726304
484	0.6854572538
485	0.6854422213
486	0.6854263349
487	0.6854104737
488	0.6853939718
489	0.6853769947
490	0.6853600984
491	0.6853452695
492	0.6853310574
493	0.6853160265
494	0.6852983983
495	0.6852835324
496	0.6852697742
497	0.6852538198
498	0.6852364974
499	0.6852204364
500	0.6852045079
501	0.6851896788
502	0.6851732999
503	0.6851580924
504	0.6851428488
505	0.6851265633
506	0.6851080531
507	0.6850928097
508	0.6850769852
509	0.6850630313
510	0.6850482199
511	0.6850325876
