iter	Passed	Remaining
406	5694	8296
407	5709	8283
408	5722	8268
409	5735	8253
410	5748	8238
411	5762	8223
412	5774	8206
413	5787	8192
414	5801	8178
415	5817	8166
416	5833	8155
417	5848	8143
418	5862	8128
419	5876	8115
420	5888	8098
421	5902	8084
422	5915	8069
423	5929	8055
424	5943	8040
425	5957	8027
426	5971	8013
427	5985	7999
428	6000	7986
429	6014	7972
430	6028	7958
431	6042	7944
432	6056	7930
433	6070	7916
434	6084	7902
435	6098	7889
436	6112	7874
437	6125	7860
438	6138	7844
439	6152	7830
440	6165	7815
441	6179	7801
442	6193	7787
443	6207	7773
444	6221	7759
445	6235	7745
446	6250	7732
447	6264	7718
448	6277	7703
449	6291	7689
450	6305	7675
451	6318	7660
452	6331	7645
453	6345	7630
454	6360	7618
455	6380	7612
456	6393	7596
457	6406	7581
458	6420	7567
459	6432	7551
460	6445	7536
461	6458	7520
462	6471	7505
463	6484	7490
464	6497	7476
465	6510	7461
466	6526	7448
467	6539	7433
468	6552	7418
469	6566	7404
470	6579	7390
471	6592	7375
472	6606	7360
473	6619	7346
474	6633	7332
475	6647	7318
476	6660	7302
477	6674	7289
478	6687	7274
479	6701	7259
480	6714	7245
481	6729	7231
482	6742	7217
483	6755	7202
484	6768	7187
485	6782	7173
486	6796	7158
487	6808	7143
488	6822	7129
489	6836	7115
490	6849	7100
491	6862	7085
492	6875	7071
493	6888	7056
494	6901	7041
495	6915	7026
496	6928	7011
497	6941	6997
498	6954	6982
499	6967	6967
500	6981	6953
501	6994	6938
502	7007	6923
503	7021	6909
504	7034	6895
505	7048	6880
506	7061	6866
507	7074	6851
508	7087	6836
509	7101	6823
510	7114	6808
511	7128	6794
512	7141	6779
513	7154	6764
514	7167	6750
515	7182	6736
516	7197	6724
517	7212	6711
518	7226	6697
519	7239	6683
520	7253	6668
521	7266	6653
522	7278	6638
523	7291	6623
524	7304	6608
525	7317	6594
526	7330	6579
527	7344	6565
528	7359	6552
529	7372	6538
530	7386	6523
531	7400	6510
532	7413	6495
533	7426	6481
534	7440	6466
535	7454	6452
536	7467	6438
537	7479	6423
538	7492	6408
539	7506	6394
540	7519	6379
541	7531	6364
542	7544	6349
543	7557	6334
544	7570	6320
545	7584	6306
546	7596	6290
547	7609	6276
548	7622	6261
549	7636	6248
550	7650	6233
551	7664	6220
552	7676	6205
553	7690	6191
554	7703	6176
555	7717	6162
556	7730	6148
557	7743	6133
558	7757	6119
559	7771	6106
560	7785	6092
561	7799	6078
562	7812	6063
563	7824	6049
564	7838	6034
565	7850	6020
566	7865	6006
567	7879	5992
568	7891	5977
569	7905	5963
570	7918	5948
571	7930	5933
572	7942	5918
573	7958	5906
574	7971	5891
575	7984	5877
576	7998	5863
577	8012	5849
578	8025	5835
579	8038	5821
580	8051	5806
581	8064	5791
582	8077	5777
583	8090	5762
584	8102	5748
585	8115	5733
586	8129	5719
587	8143	5705
588	8156	5691
589	8171	5678
590	8186	5665
591	8199	5650
592	8212	5636
593	8226	5622
594	8240	5608
595	8251	5593
596	8264	5579
597	8277	5564
598	8290	5550
599	8302	5534
600	8316	5521
601	8329	5507
602	8341	5491
603	8354	5477
604	8367	5463
605	8381	5449
606	8396	5436
607	8410	5422
608	8423	5408
609	8437	5394
610	8450	5379
611	8463	5365
612	8477	5351
613	8489	5337
614	8502	5322
615	8516	5308
616	8531	5295
617	8545	5282
618	8558	5267
619	8571	5253
620	8584	5239
621	8598	5225
622	8612	5211
623	8624	5196
624	8637	5182
625	8649	5167
626	8662	5153
627	8677	5140
628	8691	5126
629	8705	5112
630	8720	5099
631	8732	5084
632	8745	5070
633	8758	5056
634	8771	5041
635	8783	5026
636	8795	5012
637	8808	4998
638	8821	4983
639	8834	4969
640	8846	4954
641	8858	4939
642	8872	4926
643	8885	4912
644	8898	4897
645	8912	4883
646	8924	4869
647	8937	4855
648	8951	4841
649	8966	4827
650	8979	4814
651	8993	4799
652	9006	4785
653	9019	4771
654	9032	4757
655	9045	4743
656	9058	4729
657	9072	4715
658	9085	4701
659	9098	4687
660	9112	4673
661	9125	4659
662	9139	4645
663	9151	4630
664	9164	4616
665	9177	4602
666	9190	4588
667	9203	4574
668	9216	4560
669	9228	4545
670	9241	4531
671	9253	4516
672	9267	4502
673	9279	4488
674	9292	4474
675	9306	4460
676	9319	4446
677	9332	4432
678	9344	4417
679	9357	4403
680	9370	4389
681	9384	4375
682	9398	4362
683	9413	4348
684	9425	4334
685	9437	4319
686	9450	4305
687	9463	4291
688	9477	4277
689	9489	4263
690	9503	4249
691	9516	4235
692	9528	4220
693	9540	4206
694	9552	4192
695	9566	4178
696	9578	4163
697	9590	4149
698	9603	4135
699	9615	4120
700	9628	4107
701	9642	4093
702	9656	4079
703	9669	4065
704	9683	4051
705	9697	4038
706	9710	4024
707	9724	4010
708	9739	3997
709	9751	3983
710	9765	3969
711	9778	3955
712	9791	3941
713	9803	3927
714	9817	3913
715	9829	3898
716	9842	3884
717	9856	3871
718	9869	3857
719	9884	3843
720	9897	3829
721	9910	3816
722	9924	3802
723	9937	3788
724	9950	3774
725	9963	3760
726	9977	3746
727	9990	3732
728	10004	3718
729	10017	3705
730	10030	3691
731	10044	3677
732	10057	3663
733	10070	3649
734	10083	3635
735	10096	3621
736	10109	3607
737	10123	3594
738	10137	3580
739	10150	3566
740	10165	3552
741	10178	3539
742	10193	3525
743	10205	3511
744	10218	3497
745	10231	3483
746	10245	3469
747	10259	3456
748	10273	3442
749	10285	3428
750	10298	3414
751	10312	3400
752	10325	3387
753	10338	3373
754	10351	3359
755	10365	3345
756	10378	3331
757	10393	3318
758	10407	3304
759	10422	3291
760	10435	3277
761	10448	3263
762	10461	3249
763	10473	3235
764	10486	3221
765	10499	3207
766	10512	3193
767	10524	3179
768	10539	3165
769	10552	3152
770	10565	3138
771	10578	3124
772	10591	3110
773	10604	3096
774	10617	3082
775	10631	3068
776	10644	3054
777	10658	3041
778	10671	3027
779	10684	3013
780	10698	2999
781	10711	2986
782	10724	2972
783	10739	2958
784	10753	2945
785	10766	2931
786	10780	2917
